timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-28,133.19,134.53,131.79,134.5,134.5,5471497,0.0000,1.0
2022-01-27,133.66,134.75,132.08,132.52,132.52,5499566,0.0000,1.0
2022-01-26,136.47,137.07,133.13,134.26,134.26,8335992,0.0000,1.0
2022-01-25,129.14,137.3361,128.3,136.1,136.1,19715698,0.0000,1.0
2022-01-24,127.99,129.15,124.193,128.82,128.82,13777648,0.0000,1.0
2022-01-21,131.65,131.87,129.27,129.35,129.35,5906950,0.0000,1.0
2022-01-20,131.26,132.88,130.5705,130.82,130.82,5278244,0.0000,1.0
2022-01-19,132.9,133.9,131.5,131.58,131.58,4099035,0.0000,1.0
2022-01-18,132.95,133.89,131.78,132.94,132.94,5236258,0.0000,1.0
2022-01-14,134.55,135.14,133.3,134.21,134.21,5310305,0.0000,1.0
2022-01-13,133.9,136.05,133.56,134.76,134.76,4868349,0.0000,1.0
2022-01-12,133.25,134.47,131.37,133.59,133.59,5352014,0.0000,1.0
2022-01-11,130.52,133.25,127.97,132.87,132.87,11081210,0.0000,1.0
2022-01-10,134.47,136.2,133.38,135.03,135.03,5432807,0.0000,1.0
2022-01-07,134.9,135.6618,133.5111,134.83,134.83,5238099,0.0000,1.0
2022-01-06,138.2,138.4099,132.51,135.34,135.34,9908081,0.0000,1.0
2022-01-05,138.31,142.2,137.88,138.22,138.22,8956910,0.0000,1.0
2022-01-04,136.1,139.95,135.9,138.02,138.02,7300011,0.0000,1.0
2022-01-03,134.07,136.295,133.63,136.04,136.04,4610665,0.0000,1.0
2021-12-31,134.0,134.99,133.61,133.66,133.66,3315313,0.0000,1.0
2021-12-30,133.75,134.37,133.33,133.91,133.91,3158111,0.0000,1.0
2021-12-29,132.4,134.21,132.3,133.35,133.35,4239935,0.0000,1.0
2021-12-28,131.6,133.22,131.59,132.63,132.63,3447079,0.0000,1.0
2021-12-27,130.63,131.65,129.95,131.62,131.62,4294499,0.0000,1.0
2021-12-23,130.0,130.96,129.52,130.63,130.63,3649044,0.0000,1.0
2021-12-22,129.06,129.79,127.6,129.75,129.75,3923198,0.0000,1.0
2021-12-21,127.66,129.3356,127.66,128.97,128.97,4855972,0.0000,1.0
2021-12-20,125.72,127.2,124.7,127.06,127.06,4941411,0.0000,1.0
2021-12-17,125.87,128.64,125.2093,127.4,127.4,10382693,0.0000,1.0
2021-12-16,123.51,126.6399,123.475,125.93,125.93,7280537,0.0000,1.0
2021-12-15,123.8,124.815,122.18,123.11,123.11,4990028,0.0000,1.0
2021-12-14,122.35,125.03,122.3,123.76,123.76,5716124,0.0000,1.0
2021-12-13,123.76,124.3554,120.79,122.58,122.58,6847468,0.0000,1.0
2021-12-10,124.3,125.33,123.36,124.09,124.09,4966921,0.0000,1.0
2021-12-09,122.15,123.95,121.79,123.57,123.57,4601092,0.0000,1.0
2021-12-08,122.0,123.38,121.52,123.02,123.02,5483948,0.0000,1.0
2021-12-07,120.475,122.08,120.07,121.58,121.58,5193991,0.0000,1.0
2021-12-06,119.4,121.15,119.4,119.91,119.91,4785560,0.0000,1.0
2021-12-03,117.36,119.36,117.36,118.84,118.84,6630139,0.0000,1.0
2021-12-02,117.37,117.98,116.56,116.9,116.9,5267149,0.0000,1.0
2021-12-01,118.25,118.93,116.85,116.92,116.92,5959867,0.0000,1.0
2021-11-30,117.5,119.2399,116.45,117.1,117.1,9252701,0.0000,1.0
2021-11-29,118.62,119.61,117.53,118.5,118.5,8949795,0.0000,1.0
2021-11-26,115.0,116.335,114.56,115.81,115.81,3322012,0.0000,1.0
2021-11-24,116.16,117.27,116.08,116.73,116.73,3220802,0.0000,1.0
2021-11-23,116.79,117.94,116.04,116.79,116.79,4914995,0.0000,1.0
2021-11-22,116.0,118.81,115.19,116.47,116.47,6417218,0.0000,1.0
2021-11-19,116.49,116.56,115.27,116.05,116.05,5384548,0.0000,1.0
2021-11-18,118.36,118.36,116.31,116.66,116.66,5047879,0.0000,1.0
2021-11-17,118.38,119.33,117.78,118.06,118.06,4043289,0.0000,1.0
2021-11-16,118.92,119.9,118.42,118.46,118.46,4750760,0.0000,1.0
2021-11-15,119.54,120.16,118.31,118.87,118.87,5046321,0.0000,1.0
2021-11-12,120.0,120.64,118.78,118.96,118.96,5376966,0.0000,1.0
2021-11-11,120.9,121.7894,120.08,120.27,120.27,4643257,0.0000,1.0
2021-11-10,121.0,122.43,119.932,120.22,120.22,6268961,0.0000,1.0
2021-11-09,122.56,122.9,120.26,120.85,120.85,7195453,1.6400,1.0
2021-11-08,123.985,124.78,123.53,124.54,122.872552861,5625275,0.0000,1.0
2021-11-05,121.43,123.77,121.43,123.61,121.95500449,6790478,0.0000,1.0
2021-11-04,123.05,123.34,119.9,120.85,119.231957711,7208736,0.0000,1.046
2021-11-03,126.23,127.29,125.68,127.13,119.911927098,5421406,0.0000,1.0
2021-11-02,126.3,127.17,124.91,126.18,119.015865345,4496393,0.0000,1.0
2021-11-01,125.05,126.31,123.8375,126.28,119.110187635,5874767,0.0000,1.0
2021-10-29,125.43,126.32,124.91,125.1,117.997184614,5916789,0.0000,1.0
2021-10-28,125.17,126.31,124.62,125.84,118.695169559,6503003,0.0000,1.0
2021-10-27,127.44,127.88,125.01,125.17,118.063210217,6973432,0.0000,1.0
2021-10-26,127.52,128.3,126.755,127.13,119.911927098,8520872,0.0000,1.0
2021-10-25,127.53,128.65,126.94,127.64,120.392970777,6374038,0.0000,1.0
2021-10-22,128.05,130.25,126.611,127.88,120.619344272,11582195,0.0000,1.0
2021-10-21,133.51,133.72,128.1,128.33,121.043794577,31466529,0.0000,1.0
2021-10-20,141.68,142.2,140.7,141.9,133.843329311,6189255,0.0000,1.0
2021-10-19,141.08,142.94,140.5201,141.98,133.918787143,4339548,0.0000,1.0
2021-10-18,144.0,144.94,141.759,142.32,134.239482928,6154055,0.0000,1.0
2021-10-15,143.39,144.85,142.79,144.61,136.399463366,3222778,0.0000,1.0
2021-10-14,141.04,143.92,141.01,143.39,135.24873143,4217305,0.0000,1.0
2021-10-13,140.52,141.41,139.66,140.76,132.768055206,2880747,0.0000,1.0
2021-10-12,142.21,142.3,140.3,140.47,132.494520566,3148559,0.0000,1.0
2021-10-11,143.5,144.08,142.4,142.43,134.343237447,2793298,0.0000,1.0
2021-10-08,141.81,143.65,141.05,143.22,135.088383537,3731279,0.0000,1.0
2021-10-07,142.73,143.395,141.53,141.81,133.75843925,3823803,0.0000,1.0
2021-10-06,142.48,143.37,140.89,142.36,134.277211844,5328433,0.0000,1.0
2021-10-05,144.75,145.0,142.64,143.15,135.022357934,6976648,0.0000,1.0
2021-10-04,142.74,146.0,142.3501,144.11,135.927851917,7351128,0.0000,1.0
2021-10-01,141.0,143.97,140.37,143.32,135.182705827,6604064,0.0000,1.0
2021-09-30,140.0,140.57,138.5,138.93,131.041957302,5824431,0.0000,1.0
2021-09-29,137.73,139.93,136.44,139.18,131.277763027,3774236,0.0000,1.0
2021-09-28,139.17,139.688,137.21,137.47,129.66485187,4314595,0.0000,1.0
2021-09-27,137.96,139.065,137.48,138.56,130.692964829,3306865,0.0000,1.0
2021-09-24,137.03,138.48,136.75,137.49,129.683716328,2964397,0.0000,1.0
2021-09-23,135.25,137.42,135.03,136.73,128.966866925,3013238,0.0000,1.0
2021-09-22,133.72,135.37,133.47,134.63,126.986098838,3602416,0.0000,1.0
2021-09-21,135.11,135.65,132.94,132.97,125.420348826,4074528,0.0000,1.0
2021-09-20,133.9,135.18,132.78,134.31,126.68426751,4770651,0.0000,1.0
2021-09-17,135.75,135.9199,135.05,135.23,127.552032577,5633480,0.0000,1.0
2021-09-16,137.28,137.95,135.71,136.43,128.683900055,2643975,0.0000,1.0
2021-09-15,136.22,137.8,135.67,137.2,129.410181687,3254122,0.0000,1.0
2021-09-14,138.4,138.57,135.34,136.22,128.485823247,4454291,0.0000,1.0
2021-09-13,138.4,138.99,137.51,138.15,130.306243441,4144345,0.0000,1.0
2021-09-10,138.82,139.3699,137.0,137.02,129.240401566,3975115,0.0000,1.0
2021-09-09,137.85,138.96,137.555,137.74,129.919522053,3508363,0.0000,1.0
2021-09-08,138.14,139.09,137.6,138.67,130.796719348,2985409,0.0000,1.0
